,time,open,high,low,close,volume
383,2014-07-23,598.98,599.56,594.1,597.5,65415149
384,2014-07-24,597.03,602.49,597.03,602.06,87860250
385,2014-07-25,603.54,605.78,600.14,600.14,99969018
386,2014-07-28,599.13,599.35,587.78,589.45,111541350
387,2014-07-29,590.57,592.24,585.75,592.24,62283321
388,2014-07-30,591.15,593.58,588.53,589.33,81073130
389,2014-07-31,587.68,596.11,587.68,596.07,64622962
390,2014-08-01,594.66,596.8,592.38,593.9,65130297
391,2014-08-04,592.35,600.52,592.04,599.04,71641464
392,2014-08-05,600.46,607.73,599.1,607.73,86632550
393,2014-08-06,607.95,610.88,605.63,606.7,94020497
394,2014-08-07,603.94,608.42,603.13,607.62,91130306
395,2014-08-08,607.64,610.09,604.08,605.43,108880699
396,2014-08-11,602.78,607.16,600.48,602.13,87720330
397,2014-08-12,602.35,604.89,598.71,601.78,82997797
398,2014-08-13,601.77,604.51,599.64,602.76,95741320
399,2014-08-14,605.2,607.84,604.08,605.25,112025144
400,2014-08-15,605.25,608.46,603.24,604.24,105894724
401,2014-08-18,605.65,607.79,603.33,605.08,139413025
402,2014-08-19,606.6,609.04,603.61,604.64,134150022
403,2014-08-20,604.3,608.72,602.81,606.7,107831991
404,2014-08-21,608.91,616.96,608.58,612.94,151001110
405,2014-08-22,615.81,622.97,614.51,620.14,163547241
406,2014-08-25,622.71,629.58,622.16,625.88,182015010
407,2014-08-26,627.13,631.17,625.1,629.06,135433540
408,2014-08-27,631.23,632.25,624.68,628.77,157140925
409,2014-08-28,629.28,635.94,626.32,632.03,164370253
410,2014-08-29,634.91,640.19,631.11,636.65,189882100
411,2014-09-03,641.01,644.56,638.95,640.75,204159770
412,2014-09-04,639.14,642.88,636.56,640.22,163378441
413,2014-09-05,640.05,641.96,638.55,638.65,161905991
414,2014-09-08,641.93,642.72,639.19,639.85,182224667
415,2014-09-09,640.99,641.2,622.76,626.92,278599892
416,2014-09-10,627.35,630.03,618.54,628.8,141622120
417,2014-09-11,629.77,633.6,626.26,628.99,127214618
418,2014-09-12,631.31,632.91,627.42,632.5,144087285
419,2014-09-15,631.31,636.65,627.42,630.34,210683873
420,2014-09-16,628.96,631.59,623.66,627.66,180897170
421,2014-09-17,630.5,632.22,625.66,625.66,189811760
422,2014-09-18,625.94,627.29,615.8,615.8,178194623
423,2014-09-19,616.03,619.8,612.4,613.29,218231910
424,2014-09-22,617.71,621.36,611.93,611.93,141908728
425,2014-09-23,611.75,615.99,610.39,610.39,144390553
426,2014-09-24,609.51,611.61,603.59,603.59,132704220
427,2014-09-25,602.53,605.5,594.28,605.1,135774325
428,2014-09-26,608.8,610.15,604.98,604.98,143917060
429,2014-09-29,605.03,605.03,599.78,599.78,127430796
430,2014-09-30,597.16,601.54,594.0,598.8,153786358
431,2014-10-01,603.5,611.74,603.44,609.27,183011333
432,2014-10-02,612.43,614.8,607.57,612.66,180214921
433,2014-10-03,613.38,615.42,610.55,611.55,190314722
434,2014-10-06,612.11,616.13,612.03,614.42,168958470
435,2014-10-07,614.16,617.01,612.94,614.08,194665550
436,2014-10-08,615.04,618.37,611.98,617.26,175390800
437,2014-10-09,622.25,626.9,622.25,624.34,163349106
